Starting Implied Volatility Surface generation...
Maturity,LogMoneyness,IV_Rough,IV_Classical
0.083333,-0.200000,0.222690,0.205142
0.083333,-0.180000,0.221670,0.205072
0.083333,-0.160000,0.220204,0.204930
0.083333,-0.140000,0.218642,0.204588
0.083333,-0.120000,0.217083,0.204171
0.083333,-0.100000,0.215596,0.203545
0.083333,-0.080000,0.214112,0.202873
0.083333,-0.060000,0.212556,0.202211
0.083333,-0.040000,0.210921,0.201625
0.083333,-0.020000,0.209273,0.201065
0.083333,0.000000,0.207432,0.200323
0.083333,0.020000,0.205798,0.199886
0.083333,0.040000,0.204188,0.199399
0.083333,0.060000,0.202538,0.198885
0.083333,0.080000,0.200926,0.198402
0.083333,0.100000,0.199430,0.197959
0.083333,0.120000,0.198000,0.197695
0.083333,0.140000,0.196869,0.197276
0.083333,0.160000,0.195518,0.196355
0.083333,0.180000,0.193890,0.195219
0.083333,0.200000,0.192739,0.193153
0.166667,-0.200000,0.225440,0.208420
0.166667,-0.180000,0.224129,0.207958
0.166667,-0.160000,0.222839,0.207534
0.166667,-0.140000,0.221612,0.207059
0.166667,-0.120000,0.220410,0.206590
0.166667,-0.100000,0.219162,0.206123
0.166667,-0.080000,0.217909,0.205687
0.166667,-0.060000,0.216627,0.205252
0.166667,-0.040000,0.215376,0.204800
0.166667,-0.020000,0.214131,0.204356
0.166667,0.000000,0.212290,0.202860
0.166667,0.020000,0.211043,0.202417
0.166667,0.040000,0.209794,0.201982
0.166667,0.060000,0.208535,0.201538
0.166667,0.080000,0.207277,0.201053
0.166667,0.100000,0.206071,0.200461
0.166667,0.120000,0.204822,0.199869
0.166667,0.140000,0.203619,0.199205
0.166667,0.160000,0.202516,0.198613
0.166667,0.180000,0.201393,0.198045
0.166667,0.200000,0.200179,0.197575
0.250000,-0.200000,0.227152,0.211279
0.250000,-0.180000,0.226147,0.210684
0.250000,-0.160000,0.225097,0.210125
0.250000,-0.140000,0.224054,0.209607
0.250000,-0.120000,0.223009,0.209122
0.250000,-0.100000,0.221955,0.208656
0.250000,-0.080000,0.220890,0.208223
0.250000,-0.060000,0.219840,0.207775
0.250000,-0.040000,0.218775,0.207326
0.250000,-0.020000,0.217707,0.206833
0.250000,0.000000,0.216134,0.206192
0.250000,0.020000,0.215039,0.205702
0.250000,0.040000,0.213950,0.205228
0.250000,0.060000,0.212871,0.204711
0.250000,0.080000,0.211785,0.204178
0.250000,0.100000,0.210719,0.203657
0.250000,0.120000,0.209661,0.203171
0.250000,0.140000,0.208560,0.202659
0.250000,0.160000,0.207481,0.202084
0.250000,0.180000,0.206433,0.201476
0.250000,0.200000,0.205364,0.200881
0.333333,-0.200000,0.229264,0.214573
0.333333,-0.180000,0.228262,0.214070
0.333333,-0.160000,0.227260,0.213536
0.333333,-0.140000,0.226240,0.213007
0.333333,-0.120000,0.225231,0.212481
0.333333,-0.100000,0.224243,0.211961
0.333333,-0.080000,0.223250,0.211430
0.333333,-0.060000,0.222235,0.210925
0.333333,-0.040000,0.221217,0.210456
0.333333,-0.020000,0.220219,0.209989
0.333333,0.000000,0.219978,0.208285
0.333333,0.020000,0.218972,0.207854
0.333333,0.040000,0.217947,0.207428
0.333333,0.060000,0.216910,0.206996
0.333333,0.080000,0.215888,0.206531
0.333333,0.100000,0.214878,0.206050
0.333333,0.120000,0.213882,0.205557
0.333333,0.140000,0.212914,0.205082
0.333333,0.160000,0.212007,0.204652
0.333333,0.180000,0.211138,0.204284
0.333333,0.200000,0.210312,0.203953
0.416667,-0.200000,0.231229,0.216391
0.416667,-0.180000,0.230384,0.215858
0.416667,-0.160000,0.229555,0.215338
0.416667,-0.140000,0.228728,0.214814
0.416667,-0.120000,0.227904,0.214272
0.416667,-0.100000,0.227088,0.213746
0.416667,-0.080000,0.226291,0.213238
0.416667,-0.060000,0.225493,0.212747
0.416667,-0.040000,0.224651,0.212233
0.416667,-0.020000,0.223801,0.211710
0.416667,0.000000,0.222845,0.211761
0.416667,0.020000,0.221977,0.211222
0.416667,0.040000,0.221104,0.210699
0.416667,0.060000,0.220220,0.210156
0.416667,0.080000,0.219315,0.209620
0.416667,0.100000,0.218420,0.209073
0.416667,0.120000,0.217548,0.208557
0.416667,0.140000,0.216718,0.208040
0.416667,0.160000,0.215882,0.207539
0.416667,0.180000,0.215004,0.207026
0.416667,0.200000,0.214130,0.206519
0.500000,-0.200000,0.232995,0.219042
0.500000,-0.180000,0.232214,0.218533
0.500000,-0.160000,0.231443,0.218025
0.500000,-0.140000,0.230675,0.217527
0.500000,-0.120000,0.229908,0.217044
0.500000,-0.100000,0.229147,0.216562
0.500000,-0.080000,0.228384,0.216076
0.500000,-0.060000,0.227622,0.215584
0.500000,-0.040000,0.226862,0.215102
0.500000,-0.020000,0.226097,0.214610
0.500000,0.000000,0.225271,0.213910
0.500000,0.020000,0.224468,0.213442
0.500000,0.040000,0.223674,0.212979
0.500000,0.060000,0.222889,0.212498
0.500000,0.080000,0.222098,0.212028
0.500000,0.100000,0.221327,0.211552
0.500000,0.120000,0.220538,0.211063
0.500000,0.140000,0.219755,0.210586
0.500000,0.160000,0.218988,0.210099
0.500000,0.180000,0.218205,0.209617
0.500000,0.200000,0.217429,0.209161
0.583333,-0.200000,0.235071,0.221352
0.583333,-0.180000,0.234357,0.220907
0.583333,-0.160000,0.233661,0.220461
0.583333,-0.140000,0.232967,0.219990
0.583333,-0.120000,0.232234,0.219513
0.583333,-0.100000,0.231486,0.219037
0.583333,-0.080000,0.230744,0.218570
0.583333,-0.060000,0.230002,0.218109
0.583333,-0.040000,0.229247,0.217641
0.583333,-0.020000,0.228498,0.217183
0.583333,0.000000,0.227141,0.216400
0.583333,0.020000,0.226415,0.215950
0.583333,0.040000,0.225687,0.215485
0.583333,0.060000,0.224962,0.214999
0.583333,0.080000,0.224218,0.214515
0.583333,0.100000,0.223475,0.214024
0.583333,0.120000,0.222731,0.213522
0.583333,0.140000,0.221982,0.213049
0.583333,0.160000,0.221221,0.212575
0.583333,0.180000,0.220453,0.212104
0.583333,0.200000,0.219677,0.211653
0.666667,-0.200000,0.236717,0.223831
0.666667,-0.180000,0.236033,0.223373
0.666667,-0.160000,0.235335,0.222919
